TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,MODEL
2038.75,0.029278246423276155,0.0,0.011196025956809073,0.9148936170212748,0.2534747255119955,0.674791418745379,0.41999628521630583,0.0,0.591871789381343,0.01688139706567239,0.005348243320499586,0.024570523309099767,0.031369792835084696,0.009707760370680423,0.009707760370680423,0.00928299097889373,0.3484271219507475,0.31589549070248685,0.8380227675775973,0.8507770583502584,0.5521280469572918,0.2534747255119955,Monaghan
2039.0,0.02927407327600726,0.0,0.011204006737519989,0.9148936170212748,0.25289256059154613,0.6768042741088592,0.41987998753970324,0.0,0.5908066405024679,0.01688501881848496,0.005370344491118213,0.024585642654779475,0.031437988881981724,0.009755507689747854,0.009755507689747854,0.009316916845380371,0.34631478909119706,0.3165889004864205,0.8343230619359364,0.8533787576700246,0.5532397741218386,0.25289256059154613,Monaghan
2039.25,0.02926984175121609,0.0,0.011266049101848679,0.9148936170212748,0.2535420211442835,0.6786406305402406,0.4195793649504053,0.0,0.5895633779196566,0.01689455579373768,0.005392386306249336,0.02460221332832075,0.03161809595409454,0.009808018463810683,0.009808018463810683,0.009357768338726041,0.34402545443776344,0.31707247507015734,0.8300338831266005,0.8593308823204157,0.5538761799473395,0.2535420211442835,Monaghan
2039.5,0.02926555064028377,0.0,0.011380415273244685,0.9148936170212748,0.25536562438952387,0.6802081568517715,0.41906319340708287,0.0,0.5881475003341412,0.01691021504622463,0.005414404207714562,0.024620356159753314,0.031905017759861404,0.009865625042501075,0.009865625042501075,0.009405520420842885,0.3415740789807613,0.3173505541275578,0.8251738106322075,0.868456931482615,0.5540900946464566,0.25536562438952387,Monaghan
2039.75,0.02926119891215996,0.0,0.011543900033783692,0.9148936170212748,0.2582709164949053,0.6814278781361001,0.4183096422471455,0.0,0.5865707048610488,0.016932085721308106,0.005436434415985377,0.02464014520566461,0.03229069962764532,0.009928503877158658,0.009928503877158658,0.009459952580044126,0.3389831554190086,0.31743359054424175,0.8197796949907494,0.8804822866943055,0.5539449959826768,0.2582709164949053,Monaghan
2040.0,0.029256789263821935,0.0,0.011752862794188218,0.9148936170212748,0.262154962330356,0.6822371149998421,0.4173049012278197,0.0,0.584847049221576,0.01696019818028544,0.005458512794644255,0.024661637109457776,0.0327663538001574,0.009996755072421945,0.009996755072421945,0.009520777464965761,0.336276768019982,0.3173342473327711,0.813894603778431,0.895104331726703,0.553504716688119,0.262154962330356,Monaghan
2015.0,0.01807458391964755,0.09673993724509607,0.004738155056922695,0.5969498910675382,0.5275947356469721,0.0,0.17814998969897933,0.048063707268171905,0.4733697369956994,0.0,0.004408239920713328,0.0,0.0,0.0,0.0,0.0,0.0,0.5964823576938156,0.0772384200950147,0.05026177882148664,0.6982989598770017,0.5275947356469721,Segobriga
2015.25,0.018218286157936994,0.09690226054719356,0.00458446437398564,0.5959760739532352,0.5211031805115821,0.0,0.17428524160293957,0.048254900896339714,0.47896221553804047,0.0,0.004353186501840457,0.0,0.0,0.0,0.0,0.0,0.0,0.5925675357339482,0.07663929426224658,0.06314735511814933,0.7027268039897367,0.5211031805115821,Segobriga
2015.5,0.018360855003044827,0.09706741033783008,0.004446139950366837,0.5898815931108715,0.5152528567553329,0.0,0.17078890914193537,0.04836784742777158,0.48447972375097703,0.0,0.00429980749099933,0.0,0.0,0.0,0.0,0.0,0.0,0.5887420179103042,0.07604553637837143,0.07468830001998054,0.70724192446825,0.5152528567553329,Segobriga
2015.75,0.018502215913879714,0.09723596746352828,0.004321364564513246,0.5839104954714968,0.5099650856319119,0.0,0.16768576056513554,0.04841817823868615,0.4899271007693623,0.0,0.004248057245050785,0.0,0.0,0.0,0.0,0.0,0.0,0.5850058380058131,0.07547162308158357,0.08501335459538613,0.7118265135399601,0.5099650856319119,Segobriga
